Source,Target,Weight
"person:hughes","person:matthew wade",2
"person:babar","person:hasan ali",30
"person:modi ji","person:scott morrison",1
"other:saheen sah afridi ball","person:hasan ali",4
"other:saheen sah afridi ball","person:matthew wed",4
"person:hasan ali","person:matthew wed",4
"place:karachi airport","place:mumbai airport",3
"person:hassan ali🤦🤦🤷","person:muhammad shami",1
"organization:pakistan","place:england",12
"person:rizwan","place:england",1
"organization:indians","organization:pakistan cricket",2
"organization:indians","person:hassan ali",23
"organization:indians","place:pakistan",98
"person:alfrid lickspittle","person:babar azam",1
"organization:indians","place:british empire",1
"place:british empire","place:pakistan",1
"place:jalalabad","place:pakistan",2
"person:sheikh rashid","place:pakistan",9
"organization:pak","person:hassan",2
"organization:pak","person:imad",1
"organization:pak","person:othetwise",1
"person:hassan","person:imad",14
"person:hassan","person:othetwise",1
"person:imad","person:othetwise",1
"person:baba dam fool","person:saqib nisar",1
"person:twitterati","place:pakistan",1
"person:porki","product:twitter",1
"organization:t20","person:hassan ali",17
"organization:cricket fraternity","organization:pakistan",1
"organization:cricket fraternity","person:marcus stoinis",1
"organization:cricket fraternity","person:matthew wade",1
"organization:twitter","person:david warner",3
"organization:bluetooth","organization:nfc",2
"other:t20 world cup","person:wasim jaffer",1
"organization:the pakistan","person:david warner",1
"organization:the pakistan","person:stonis",1
"organization:the pakistan","person:wade",1
"person:david warner","person:stonis",2
"person:david warner","person:wade",10
"organization:youth affairs department punjab","other:pak-australia t20 world cup",2
"organization:youth affairs department punjab","place:national hockey stadium",2
"organization:youth affairs department punjab","place:pakistan",2
"other:pak-australia t20 world cup","place:national hockey stadium",2
"other:pak-australia t20 world cup","place:pakistan",2
"place:national hockey stadium","place:pakistan",2
"other:twenty20 world cup","place:pakistan",3
"person:2010 hussey","person:mathew wade",1
"person:2010 hussey","person:wade",1
"person:mathew wade","person:wade",30
"person:babar azam","person:mathew wade",2
"person:wasim akram","place:pakistan",4
"organization:le indians","other:t20 world cup",1
"organization:le indians","place:pakistan",2
"organization:australia","organization:england",22
"organization:australia","organization:new zealand",29
"organization:australia","organization:nz",15
"organization:england","organization:new zealand",24
"organization:new zealand","organization:nz",2
"organization:australia t20","organization:pakistan",1
"organization:australia t20","person:david warner",1
"organization:t20 world cup","person:mohammad rizwan",3
"person:shadab khan","place:pakistan",41
"organization:newzealand","organization:t20",5
"organization:newzealand","place:australia",7
"person:smith","person:warner",118
"place:aus","place:pakistan",47
"person:hafeez","person:mike atherton",1
"person:hafeez","person:wade",6
"person:hafeez","place:pakistan",33
"person:mike atherton","person:wade",1
"person:mike atherton","place:pakistan",10
"organization:t20","person:glen maxwell",1
"person:glen maxwell","person:haris rauf",1
"organization:sky sports cricket","person:41no",2
"organization:sky sports cricket","person:stoinis",2
"organization:sky sports cricket","person:wade",2
"person:41no","person:stoinis",2
"person:41no","person:wade",2
"other:allah","person:hasan ali",7
"organization:australia","organization:csk",1
"organization:australia","organization:newzealand",7
"organization:csk","organization:india",1
"organization:csk","organization:newzealand",1
"organization:india","organization:newzealand",2
"person:sha allah","place:pakistan",2
"other:t20 world cup","person:hassan ali",9
"organization:pakistan","person:hussey",8
"person:hussey","place:pakistan",34
"place:dubai","place:karachi airport",3
"organization:aus","person:hassan ali",10
"person:mathew wade","place:australia",114
"person:michael hussey","place:australia",17
"organization:england","other:t20 world cup final",1
"organization:england","person:conway",1
"organization:england","person:devon conway",1
"other:t20 world cup final","person:conway",1
"other:t20 world cup final","person:devon conway",1
"person:conway","person:devon conway",2
"person:hassan ali🤗","place:australia",1
"organization:pakistan","person:cricketer",1
"person:matthew wade","person:shahin afridi",2
"organization:australia","organization:pak",39
"organization:australia","person:stoinis",14
"organization:pak","person:stoinis",2
"organization:pak","person:wade",8
"person:muhammad rizwan","place:pakistan",38
"organization:sheffield shield","person:matthew wade",1
"person:match warner","person:umpire",1
"person:match warner","person:warner",1
"person:match warner","place:australia",1
"person:umpire","person:warner",6
"person:umpire","place:australia",2
"person:warner","place:australia",149
"person:babar","person:wade",11
"person:babar","place:dubai",4
"person:babar","place:uae",6
"person:wade","place:dubai",7
"person:wade","place:uae",3
"other:t20 world cup 2021 finals","place:australia",2
"other:t20 world cup 2021 finals","place:new zealand",1
"organization:cricket","other:and we are proud of you",2
"other:and we are proud of you","place:pakistan",2
"person:afridi","person:shaheen afridi",9
"person:afridi","person:wade",77
"person:afridi","person:matthew wade",22
"organization:infact pakistan","place:india",1
"place:australia","place:khost",1
"person:babar azam","person:m jayawardene",2
"person:babar azam","person:t dilshan",3
"person:m jayawardene","person:t dilshan",1
"person:m jayawardene","person:virat kohli",1
"person:t dilshan","person:virat kohli",3
"person:ball","person:david warner six",1
"person:ball","person:hafeez",1
"person:david warner six","person:hafeez",2
"person:david warner six","person:warner",1
"place:australia","place:t20worldcup",1
"place:pakistan","place:t20worldcup",1
"person:ali","person:hassan ali",5
"person:ali","person:samiya arzoo",2
"person:hasanali","person:shammi",1
"person:matthew wade","person:pat cummins",2
"organization:australia","organization:t20 world cup",12
"organization:australia","person:hasan ali",8
"organization:pakistan","organization:t20 world cup",13
"organization:t20 world cup","person:babar azam",5
"person:mohammad rizwan","place:dubai",6
"organization:pakistan","person:aaron finch",11
"other:t20 world cup","person:aaron finch",7
"other:t20 world cup","person:marcus stoinis",1
"person:aaron finch","person:marcus stoinis",2
"person:aaron finch","person:matthew wade",6
"place:australia","place:t20 semi",1
"place:pakistan","place:t20 semi",1
"place:pakistan","place:pakistan cricket",5
"organization:pakistan cricket team","person:wade",1
"organization:pakistan cricket team","place:australia",10
"organization:pakistan cricket team","place:pakistan",8
"organization:t20","person:hasan ali",12
"organization:t20","person:shaheen",2
"person:grant elliott","place:abu dhabi",1
"person:grant elliott","place:auckland",1
"person:grant elliott","place:mitchell",1
"place:abu dhabi","place:auckland",1
"place:abu dhabi","place:mitchell",1
"place:auckland","place:mitchell",1
"person:muhammad rizwan","person:️muhammad rizwan",1
"person:hasan ali","person:sayemas",1
"organization:pakistan","person:sunil gavaskar",3
"person:babar azam","place:india",7
"person:sunil gavaskar","place:india",2
"person:danish kaneria","person:hasan ali",1
"person:danish kaneria","place:pakistan",1
"person:riyaz ahmed wani","place:t20",1
"place:kashmir","place:t20",2
"person:hasan ali","person:mohammad rizwan",1
"person:hasan ali","place:new zealand",4
"person:hasan ali","place:nz",3
"place:australia","place:nz",19
"place:new zealand","place:nz",2
"person:nauman niaz","person:waqar",1
"person:nauman niaz","person:waseem",1
"person:waqar","person:waseem",1
"organization:t20","person:conway",1
"person:conway","place:australia",1
"other:gta trilogy","place:san andreas",1
"person:hassan ali","person:mathew wade",35
"person:mathew wade","person:shaheen afridi",85
"organization:misbah","organization:pakistan t20",1
"organization:misbah","person:haq",1
"organization:misbah","person:hassan ali",1
"organization:pakistan t20","person:haq",1
"organization:pakistan t20","person:hassan ali",1
"person:haq","person:hassan ali",1
"other:world cup","person:babar azam",9
"person:ali","person:malik",5
"organization:pakistan","other:2021 t20 world cup",3
"other:t20 world cup","person:wade",10
"person:david warner","place:dubai",2
"organization:fiverr","product:instagram",2
"organization:indians","person:kane williamson",1
"organization:indians","place:australia",71
"person:kane williamson","place:australia",1
"person:kane williamson","place:pakistan",2
"person:kohli","person:rahul",5
"person:kohli","person:rohit",11
"person:rahul","person:rohit",23
"organization:indians","person:hasan ali",8
"organization:indians","person:shai sunni",1
"person:hasan ali","person:shai sunni",1
"other:world cup","person:hassan ali",49
"place:australia","place:semis",4
"place:india","place:semis",1
"place:pakistan","place:semis",2
"person:pakistani","place:pakistan",11
"person:hasan ali","place:t20",2
"place:afghanistan","place:australia",23
"person:rizwan","person:shaheen afridi",6
"person:ashwin mankad","person:gautam gambhir",1
"person:ashwin mankad","person:shane warne",1
"person:ashwin mankad","person:warne",1
"person:ashwin mankad","person:warner",1
"person:gautam gambhir","person:shane warne",1
"person:gautam gambhir","person:warne",2
"person:shane warne","person:warne",2
"person:shane warne","person:warner",1
"person:warne","person:warner",2
"organization:fiverr","product:facebook",4
"place:australia","place:bangladesh",19
"person:david warner","person:mohd. hafeez",1
"person:david warner","person:ravi chandran ashwin",1
"person:mohd. hafeez","person:ravi chandran ashwin",1
"person:ahamdiya","person:punjabis",1
"person:babar azam","person:saqlain mushtaq",5
"organization:t20 world cup","place:new zealand",3
"organization:t20","person:king babar",1
"organization:england","person:rabada",1
"organization:england","place:sharjah",1
"person:rabada","place:sharjah",1
"person:mr imran khan","place:dubai",1
"person:mr imran khan","place:pakistan",1
"product:android","product:firebase",8
"organization:fiverr","product:youtube",15
"organization:t20 wolrd","place:australia",1
"organization:t20 world cup","organization:twitter",1
"organization:t20 world cup","person:david warner",1
"organization:twitter","place:australia",32
"person:david warner","place:australia",56
"organization:aus","organization:australia",24
"organization:aus","organization:pakistan",31
"organization:icc t20","place:pakistan",8
"person:hasan ali","person:hassan ali",24
"person:hassan ali","person:stoinis",16
"person:gambhir","person:sania mirza",1
"other:saheen sah afridi ball","person:thathat",1
"person:hasan ali","person:thathat",1
"person:matthew wed","person:thathat",1
"person:ashwin","person:mankad",1
"person:gambhir","person:mankad",1
"person:mankad","person:warner",2
"organization:winzo","person:dost",1
"person:babar","place:pakistan",115
"organization:odi","person:babar-rizwan",1
"organization:australia","other:icc cricket world cup icc",1
"organization:pak","other:icc cricket world cup icc",1
"person:captain babar azam","person:hassan ali",2
"person:captain babar azam","place:pakistan",2
"organization:pak vs aust","place:australia",1
"place:india","place:pakistan zindabad",22
"person:matthew wade","person:shaheen",10
"person:pak pm imran khan","place:dubai",4
"organization:england","place:newzealand",2
"organization:england","place:pakistan",68
"place:australia","place:newzealand",37
"place:newzealand","place:pakistan",27
"place:nagar","place:pakistan",1
"organization:fiverr","product:spotify",2
"organization:t20","organization:t20 wcs",4
"organization:t20 wcs","place:dubai",4
"person:daryl mitchell","person:grant elliott",4
"person:daryl mitchell","person:matthew wade",10
"person:daryl mitchell","person:mike hussy",1
"person:daryl mitchell","place:pakistan",1
"person:grant elliott","person:matthew wade",3
"person:grant elliott","person:mike hussy",1
"person:grant elliott","place:pakistan",1
"person:matthew wade","person:mike hussy",3
"person:mike hussy","place:pakistan",3
"organization:bangladesh","organization:pakistan",3
"organization:bangladesh","place:bangladesh",1
"organization:pakistan","place:bangladesh",4
"place:lahore pakistan","place:pakistan",1
"organization:indians","organization:pakistan",19
"organization:indians","other:t20 world cup",2
"organization:t20","person:pak minister sheikh rashid",1
"person:pak minister sheikh rashid","place:australia",1
"person:pak minister sheikh rashid","place:india",1
"person:pak minister sheikh rashid","place:pakistan",1
"person:nehru","place:pakistan",1
"person:dhyan chand khel ratna","person:matthew wade",1
"organization:pakistani","other:world cup",1
"other:t20 world cup semifinal","place:australia",2
"other:t20 world cup semifinal","place:pakistan",1
"other:dil hai tuta tute hai hum","person:alexa",1
"organization:nz","organization:pak",22
"organization:nz","organization:wc",2
"organization:pak","organization:wc",1
"person:finch","person:g maxwell",1
"person:finch","person:m marsh",1
"person:finch","person:s smith",1
"person:finch","place:pakistan",29
"person:g maxwell","person:m marsh",1
"person:g maxwell","person:s smith",1
"person:g maxwell","place:pakistan",1
"person:m marsh","person:s smith",1
"person:m marsh","place:pakistan",1
"person:s smith","place:pakistan",1
"organization:t20i","person:babar azam",17
"organization:t20i","place:pakistan",16
"person:newzealander","place:kufrs",1
"person:mitchell marsh","person:shaheen",1
"organization:pak","person:mohammad rizwan",3
"organization:pak","place:pakistan",31
"person:babar azam","person:quaid-e-azam",1
"organization:worldcup t20","place:pakistan",1
"other:t20 world cup","person:virat kohli",5
"person:babar","person:virat kohli",10
"person:rizwan","person:virat kohli",2
"organization:pakistan cricket","person:aqib",1
"organization:pakistan cricket","person:waqar",2
"organization:pakistan cricket","person:wasim",1
"person:aqib","person:waqar",1
"person:aqib","person:wasim",1
"person:waqar","person:wasim",1
"person:hassan ali","place:new zealand",5
"organization:australia","place:icc",2
"person:babar","place:t20",1
"organization:green shirts","person:hassan",2
"organization:green shirts","person:hassan ali",6
"organization:green shirts","person:shahnawaz dhaani",1
"person:hassan","person:hassan ali",39
"person:hassan","person:shahnawaz dhaani",1
"person:hassan ali","person:shahnawaz dhaani",1
"person:david warner","person:marcus stoinis",9
"organization:man t20","organization:t20",1
"organization:aus","place:india",20
"organization:aussies","person:wade",48
"organization:t20i","place:uae",20
"organization:aus","organization:t20 world cup",4
"place:australia","place:pakistan🇵🇰",1
"place:icc","place:pakistan",20
"organization:pakistan pakistan cricket","place:pakistan",2
"person:mianwali","person:steve smith",2
"person:babar azam","person:shaheen afridi",9
"person:hasan ali","place:lahore international airport",1
"organization:t20 wc","person:wade",3
"organization:acb","place:burj-khalifa",1
"organization:australia","person:cricbuzz",1
"organization:pakistan","person:cricbuzz",1
"place:india","place:zealand",8
"person:randian","place:t20",1
"place:australia","place:sa",1
"place:india","place:sa",1
"place:pakistan","place:sa",1
"person:babar azam","person:matthew hayden",17
"person:matthew hayden","person:virat kohli",3
"person:david warner","person:virat kohli",5
"person:padma shri","place:pakistan",2
"person:warrior rizwan","place:pakistan",1
"place:karachi airport","place:mumbai",1
"place:mumbai","place:pakistan",8
"other:🇵🇰world cup","place:pakistan",1
"person:afridi","person:hassan",5
"person:pak","person:wade",44
"organization:fiverr","product:soundcloud",1
"organization:pakistan cricket team","person:hassan ali",5
"person:david warner","product:twitter",1
"person:ben stokes","person:carlos braithwaite",1
"person:ben stokes","person:shaheen",1
"person:ben stokes","person:stokes",1
"person:carlos braithwaite","person:shaheen",1
"person:carlos braithwaite","person:stokes",1
"person:shaheen","person:stokes",2
"place:dal lake","place:jammu",1
"place:dal lake","place:kashmir",1
"place:jammu","place:kashmir",2
"person:sheikh rasheed","place:pakistan",5
"organization:indians","person:pakistani",1
"place:bangladesh","place:new zealand",2
"organization:aus","person:daryl",1
"organization:aus","person:wade",22
"organization:nz","person:daryl",1
"organization:nz","person:wade",23
"person:daryl","person:wade",1
"organization:india","organization:nz",4
"organization:india","place:pakistan",10
"person:matthew wade","person:rcb captain",1
"person:hasan","person:indian दामाद",1
"person:indian दामाद","person:shoaib",1
"person:afridi","person:hwade",1
"person:hassan ali","person:hwade",1
"person:hwade","person:wade",1
"person:david warner","person:matthew wade",14
"person:afridi","place:pakistan",52
"organization:afghanistan","place:pakistan",3
"organization:afg","person:pic2",1
"organization:pakistan","place:icc",5
"organization:twitter","person:abdullah deewana",1
"person:abdullah deewana","place:australia",1
"person:abdullah deewana","place:pakistan",1
"place:england","place:t20",1
"organization:new zealand","organization:scotland",6
"organization:new zealand","other:t20 world cup",18
"organization:new zealand","place:dubai",3
"organization:scotland","other:t20 world cup",2
"organization:scotland","place:dubai",6
"other:t20 world cup","place:dubai",20
"organization:pakistan","organization:pakistan cricket",7
"organization:pakistan","person:hasan a.",1
"organization:pakistan cricket","person:babar",1
"organization:pakistan cricket","person:hasan a.",1
"person:babar","person:hasan a.",1
"organization:ind","person:finch",1
"organization:ind","person:wade",1
"organization:ind","place:t20s",1
"person:finch","person:wade",3
"person:finch","place:t20s",1
"person:wade","place:t20s",1
"organization:pakistan","other:champions trophy 2017",1
"person:warner","place:gully cricket",1
"person:ian bishop","place:icc",1
"person:jeet gaye","person:shekh rashid",1
"person:jeet gaye","place:australia",1
"person:jeet gaye","place:pakistan",1
"person:shekh rashid","place:australia",1
"person:shekh rashid","place:pakistan",2
"place:hazaras","place:pak",1
"place:hazaras","place:pashtuns",1
"place:hazaras","place:sindhis",1
"place:pak","place:pashtuns",1
"place:pak","place:sindhis",1
"place:pashtuns","place:sindhis",1
"person:gayle","person:virat kohli",1
"place:dubai","place:india",19
"person:mohammad","person:rizwan",1
"person:mohammad","place:australia",1
"person:babar azam saqlain mushtaque","person:mathew hayden",1
"person:babar azam saqlain mushtaque","person:matthew hayden",1
"person:mathew hayden","person:matthew hayden",1
"person:baloch","place:pakistan",11
"person:wade triple decker","place:australia",1
"person:hassan ali","person:mike hussey",1
"person:hassan ali","person:yuvraj singh",2
"person:mike hussey","person:yuvraj singh",1
"person:mike hussey","place:india",2
"person:yuvraj singh","place:india",1
"person:babar shaheen","person:haris",1
"person:babar shaheen","person:malik",1
"person:babar shaheen","person:pakistani",1
"person:babar shaheen","person:rizwan",1
"person:haris","person:malik",4
"person:haris","person:pakistani",1
"person:haris","person:rizwan",6
"person:malik","person:pakistani",2
"person:pakistani","person:rizwan",1
"person:md rizwan","person:warner warner",1
"person:md rizwan","place:india",1
"person:warner warner","place:india",1
"organization:t20","person:shane warne",1
"person:shia","place:india",2
"organization:","organization:pakistan",4
"organization:","person:matthew wade",2
"organization:eng abu dhabi","organization:sa colombo",4
"organization:t20","place:asia",1
"organization:trans-tasman","place:new zealand",1
"person:aaron finch","person:fakhar zaman",2
"person:aaron finch","person:mitchell starc",2
"person:aaron finch","person:shaheen shah afridi",21
"person:fakhar zaman","person:matthew wade",5
"person:fakhar zaman","person:shaheen shah afridi",3
"person:matthew wade","person:mitchell starc",4
"person:mitchell starc","person:shaheen shah afridi",4
"place:pakistan","place:patna airport",1
"person:tim","place:pakistan",1
"organization:bikari pakistan team","place:dubai airport",4
"organization:bikari pakistan team","place:karachi",4
"organization:bikari pakistan team","place:pakistan",4
"place:dubai airport","place:karachi",4
"place:dubai airport","place:pakistan",15
"organization:pakistan pm","place:australia",1
"organization:cricket","person:daryl mitchell",1
"organization:cricket","person:hassan ali",4
"organization:cricket","person:rashid",1
"organization:cricket","person:stoinis",1
"person:daryl mitchell","person:hassan ali",1
"person:daryl mitchell","person:rashid",1
"person:daryl mitchell","person:stoinis",3
"person:hassan ali","person:rashid",1
"person:rashid","person:stoinis",1
"organization:australia","person:pakistan minister sheikh rasheed",1
"organization:pakistan","person:pakistan minister sheikh rasheed",1
"organization:t20","person:pakistan minister sheikh rasheed",1
"other:allah","person:allah",3
"other:allah","person:sania mirza",1
"person:allah","person:sania mirza",1
"person:allah","place:pakistan",11
"organization:bjp","place:india",6
"organization:aus","place:bangladesh",3
"organization:nz","place:bangladesh",4
"organization:australia moeen ali","organization:pakistan",1
"person:hasan ali dono bhai","person:shane watson",1
"person:amir","person:hasan ali",2
"person:amir","place:pakistan",5
"organization:t20","person:hussey",5
"person:wade","place:india",57
"person:mathew wade","person:padma shri",12
"organization:indians","person:rishabh",1
"person:rishabh","person:wade",1
"organization:icc","organization:pakistan",38
"organization:icc","organization:t20",8
"person:hasan ali","person:warner",38
"person:rizwan","person:shadab",33
"person:rizwan","person:zaman",21
"person:shadab","person:zaman",4
"organization:australia","organization:icc world cup t20",1
"organization:icc world cup t20","organization:pakistan",1
"organization:aussies","organization:kiwis",4
"person:ajay jadeja","place:australia",1
"person:kane","place:india",1
"organization:t20","place:nz",1
"place:nz","place:pakistan",45
"organization:aus","person:gautam gambhir",2
"organization:nz","person:gautam gambhir",2
"person:rohit","person:virat",18
"person:rohit","person:wade",9
"person:rohit","place:india",3
"person:virat","person:wade",3
"person:virat","place:india",8
"person:dosti yaari","person:hassan ali",1
"person:noor bukhari","person:sonya jehen",1
"organization:t20","person:3sixex",1
"organization:t20","person:aly",1
"person:3sixex","person:aly",1
"person:3sixex","person:wade",1
"person:aly","person:wade",1
"organization:pakistan cricket","organization:pakistan zindabad",2
"person:jay shah","person:sourav ganguly",1
"organization:empire","person:warner",1
"person:david warner","person:eoin morgan",1
"person:david warner","person:kane williamson",1
"person:eoin morgan","person:kane williamson",1
"person:gandi tarbiyat","place:pakistan",1
"place:australia","place:uae",42
"person:clarke","person:hussey",1
"person:clarke","place:india",1
"person:hussey","place:india",1
"other:allah","person:ali",1
"other:allah","person:hassan",5
"person:ali","person:hassan",2
"other:allah","person:warner",14
"place:aussies","place:pakistan",11
"organization:indians","place:dubai",2
"organization:pakistan","place:dubai",49
"person:hasan ali","person:islam",4
"organization:aus","person:islam",1
"person:islam","person:pak",4
"organization:icc men","person:matthew wade",1
"organization:icc men","person:shaheen afridi",1
"organization:pakistan cricket","place:pakistan zindabad",1
"organization:indians","organization:twitter",4
"person:pakistan🤩","place:pakistan",1
"organization:indianarmy","place:pallanwala",1
"person:mathew hayden","person:mathew wade",3
"person:mathew hayden","person:mathews",1
"person:mathew wade","person:mathews",1
"other:world cup","person:hasan ali",39
"other:t20 world cup finals","person:matthew wade",1
"other:t20 world cup finals","person:shaheen afridi",1
"person:kl rahul","person:rohit",3
"person:kl rahul","person:shaheen afridi",1
"person:kl rahul","person:virat",1
"person:rohit","person:shaheen afridi",6
"person:shaheen afridi","person:virat",6
"person:dhoni","place:india",3
"other:german fall fest","other:t20 world cup",1
"other:german fall fest","place:germany",1
"other:t20 world cup","place:germany",1
"person:imran khan","place:karachi",8
"person:hasan","person:pakistanis",1
"person:hasan","person:shia",2
"person:pakistanis","person:shia",5
"organization:t20","person:smith",5
"person:hassan ali","person:kohli",4
"person:hassan ali","person:yindians",1
"person:kohli","person:mohammad shami",1
"person:kohli","person:yindians",1
"person:mohammad shami","person:yindians",1
"person:maxwell","person:neesham",1
"person:hassan ali","person:padm vibhushan",1
"person:hassan ali","person:padmshri",1
"person:matthew wade","person:padm vibhushan",1
"person:matthew wade","person:padmshri",1
"person:padm vibhushan","person:padmshri",1
"organization:t20 wc","person:king kohli",1
"organization:afghanistan","organization:indians",2
"organization:afghanistan","place:australia",2
"organization:pakistan","person:imran khan",6
"organization:666km","person:babar azam",1
"organization:666km","person:mathew wade",1
"organization:666km","person:shaheen shah afridi",1
"organization:666km","place:karachi",1
"person:babar azam","person:shaheen shah afridi",2
"person:mathew wade","person:shaheen shah afridi",11
"person:mathew wade","place:karachi",1
"person:shaheen shah afridi","place:karachi",1
"person:stoinis faded","person:wade",2
"person:stoinis faded","place:pakistan",1
"organization:beat pakistan","other:t20 world cup 2021 final",1
"organization:beat pakistan","person:mathew wade",1
"organization:beat pakistan","place:australia",1
"other:t20 world cup 2021 final","person:mathew wade",1
"other:t20 world cup 2021 final","place:australia",1
"person:miandad","person:wade",1
"person:afridi","person:le wade",1
"person:rizwan","place:uae",3
"person:namak harams","place:india",4
"person:hasan ali","person:s. afridi",1
"person:afridi","person:aus",1
"person:aus","person:matthew wade",1
"person:ekadashi","place:australia",1
"person:haldia","place:india",1
"person:","person:jess c. scott",1
"organization:t20","person:wahab riaz",1
"person:hassan ali","person:wahab riaz",5
"person:babar","person:virat",6
"person:virat","place:pakistan",9
"organization:pakistan cricket team","place:airport",1
"person:hassan ali","place:airport",4
"person:m rizwan","person:najeeb soomro",2
"person:m rizwan","place:pakistan",5
"person:najeeb soomro","place:pakistan",2
"person:hassan ali","person:t20worldcup",1
"person:t20worldcup","place:pakistan",3
"organization:aussies","person:babar",7
"organization:aussies","person:warner",22
"organization:aussies","place:karachi",1
"person:babar","place:karachi",2
"person:wade","place:karachi",4
"person:warner","place:karachi",1
"organization:australia","organization:wickets",1
"organization:pakistan","organization:wickets",1
"organization:wickets","place:australia",1
"other:world cup","person:shaheen",1
"other:world cup","person:virat kohli",2
"person:shaheen","person:virat kohli",1
"organization:aussies","person:marsh",1
"organization:aussies","place:australia",36
"person:marsh","person:wade",3
"person:marsh","person:warner",51
"person:marsh","place:australia",18
"person:babar","person:fakhar",30
"person:fakhar","person:rizwan",95
"person:david warner","person:gambhir",1
"person:david warner","person:ravichandran ashwin",1
"person:gambhir","person:ravichandran ashwin",1
"organization:aus-nz","organization:trans tasman",1
"person:pak","person:sheikh rashid",2
"place:cricket","place:kashmir",1
"person:mohammed rizwan","place:pakistan",3
"organization:islam","person:prashant umrao",1
"organization:islam","place:pakistan",1
"person:prashant umrao","place:pakistan",1
"organization:newzeland","place:pakistan",1
"person:chrisctianity","person:islam",1
"person:chrisctianity","person:sheikh rashid",1
"person:islam","person:sheikh rashid",5
"person:nafisa attari","person:sania mirza",1
"person:nafisa attari","place:rajasthan",1
"person:sania mirza","place:rajasthan",1
"organization:australia","person:gautam gambhir",1
"organization:australia","person:mohammad hafeez",1
"organization:australia","person:warner",14
"person:matthew wade","person:saeed ajmal",7
"person:mike hussey","person:saeed ajmal",20
"person:mike hussey","person:shaheen afridi",8
"person:saeed ajmal","person:shaheen afridi",11
"person:hassan ali","person:m.shami",2
"person:m.shami","place:india",1
"organization:ipl","person:warner",7
"organization:ipl","place:india",4
"person:warner","place:india",32
"person:david warner","person:r ashwin",1
"person:gautam gambhir","person:r ashwin",1
"person:cummins zampa","person:smith maxwell stoinis hazelwood",1
"other:t20 world cup","person:insha allah pakistan",1
"other:t20 world cup","person:🧠brain",1
"person:insha allah pakistan","person:🧠brain",1
"person:ms dhoni","person:punter",1
"person:ms dhoni","person:rishabh pant",1
"person:ms dhoni","person:rohit sharma",1
"person:ms dhoni","person:stoinis",1
"person:punter","person:rishabh pant",1
"person:punter","person:rohit sharma",1
"person:punter","person:stoinis",1
"person:rishabh pant","person:rohit sharma",1
"person:rishabh pant","person:stoinis",1
"person:rohit sharma","person:stoinis",1
"person:dave warner","person:warner",1
"person:matthew hayden","person:saqlain mushtaq",4
"organization:tasman","person:marcus stoinis",2
"person:shaheen","place:australia",46
"other:world cup","person:ali",2
"other:world cup","person:wade",9
"person:ali","person:wade",5
"person:shia","place:pakistan",4
"person:rahul","person:virat rohit",1
"person:rahul","person:wade",7
"person:virat rohit","person:wade",1
"other:t20 world cup","person:chris gayle",1
"person:chris gayle","person:rizwan",1
"person:babar","person:finch",12
"person:finch","place:karachi",2
"place:australia","place:karachi",19
"person:matthew hayden","person:mohammad rizwan",16
"person:abd","person:kohli",1
"person:abd","person:rcb",1
"person:abd","place:india",1
"person:kohli","person:rcb",2
"person:kohli","place:india",11
"person:rcb","place:india",2
"person:babar azam","person:hasan",2
"person:rizwan","person:starc",50
"organization:dei icc","organization:t20",1
"organization:australia","place:bangladesh",2
"organization:pakistan","other:icc t20 cricket world cup",1
"person:hassan ali","person:pak",32
"organization:team pakistan","place:australia",50
"organization:t20","person:michael hussey",5
"person:asif ali","person:babar azam",4
"person:asif ali","place:pakistan",33
"person:जय matthew wade","place:india",1
"person:sreesanth","product:facebook watch",1
"person:hasan ali","place:urdu",1
"person:matthew wadewale","place:australia",1
"person:matthew wadewale","place:pune",1
"place:australia","place:pune",1
"place:aus","place:australia",21
"person:rizwan","place:newzealand",1
"organization:t20","person:whosoever",1
"place:firebaserecycleradapter","product:android",2
"person:marcus stonis","person:mathew wad",1
"person:marcus stonis","place:australia",1
"person:mathew wad","place:australia",1
"person:rizwan","person:wade",5
"person:hassan ali","person:whewhen",2
"organization:hardluck pakistan","place:pakistan zindabad",1
"organization:pakistan pakistan","place:pakistan",1
"organization:pakistan cricket","person:imran /bajwa",1
"organization:pakistan cricket team","place:china",1
"organization:pakistan cricket team","place:dubai",1
"place:china","place:dubai",1
"person:namak harams","person:pajeets",1
"person:namak harams","place:pakistan",1
"person:pajeets","place:pakistan",1
"person:david warner","person:marsh",2
"person:marsh","place:pakistan",12
"organization:cricket","other:t20 world cup",2
"place:dubai","place:england",2
"organization:pakistan pakistan cricket","place:india",1
"person:newzeland","place:australia",2
"organization:indians","person:islam",1
"person:malik","person:pak",7
"person:malik","person:warner",4
"person:pak","person:warner",36
"organization:indians","other:world cup semis",1
"organization:t20","person:mathew wade",11
"organization:t20","person:t 20matches",1
"person:mathew wade","person:t 20matches",1
"organization:earth pakistan","other:allah",1
"organization:tableeghi ijtama lahore","place:australia",1
"organization:tableeghi ijtama lahore","place:pakistan",1
"organization:pakistan","person:smith",10
"organization:pakistan","person:warner",44
"person:smith","place:india",4
"person:shoaib malik","person:wade",3
"other:t20 world cup","person:hashan ali",1
"person:hashan ali","person:pak",1
"person:hashan ali","person:wade",1
"person:marcus stoinis","person:mathew wade",34
"person:marcus stoinis","place:australia",33
"person:islam","person:islam🕌🕋",1
"person:matthew wade","person:rohit rahul",1
"person:matthew wade","person:virat",2
