Source,Target,Weight
"person:harpreet singh","person:hasan ali",1
"person:michael rain solana","place:new zealand australia",1
"person:kane williamson","place:new zealand",3
"person:annie khalid","place:pakistan",1
"organization:twitter","person:babar azam",1
"place:pakistan","place:pakistan zindabad",145
"person:hassan","person:shadab",7
"organization:t20","place:new zealand",14
"organization:pakistan","person:hasan ali",41
"organization:pakistan","person:shadab khan",14
"person:hasan ali","person:shadab khan",9
"person:hasan","person:inzamam",1
"organization:t20","person:pakistanis",2
"person:kane","place:new zealand",1
"organization:champions","place:pakistan",1
"person:hassan ali","person:samiya arzoo",2
"person:hassan ali","product:instagram",2
"person:samiya arzoo","place:pakistan",3
"person:samiya arzoo","product:instagram",1
"place:pakistan","product:instagram",2
"other:t20 cricket world cup","place:australia",2
"other:t20 cricket world cup","place:new zealand",1
"organization:t20 international","person:shoaib malik",1
"organization:pakistan","person:david warner",13
"organization:pakistan","person:gautam gambhir",1
"person:david warner","person:gautam gambhir",9
"other:world cup","place:pakistan",203
"person:babar","person:maxwell",7
"person:babar","person:ponce",1
"person:babar","person:smith",3
"person:maxwell","person:ponce",1
"person:maxwell","person:smith",43
"person:ponce","person:smith",1
"person:hassan ali","place:india",103
"other:t20 world cup","person:gautam gambhir",1
"other:t20 world cup","place:new zealand",26
"person:gautam gambhir","place:new zealand",1
"person:ali","person:matthew wade",1
"person:ali","place:australia",2
"person:matthew wade","place:australia",244
"person:tariq kayani","place:vancouver",1
"person:justin langer","person:waqar younis",1
"other:t20 world cup","person:hasan ali",9
"other:t20 world cup","place:pakistan",192
"person:warner","place:pakistan",210
"organization:pakistan","person:matthew wade",80
"other:t20 world cup","person:matthew wade",25
"person:haris rauf","person:hasan ali",14
"other:world cup","person:ajay jadeja",1
"person:ajay jadeja","place:pakistan",2
"person:rizwan","place:kerala",1
"person:boult","person:southee",1
"person:boult","place:india",1
"person:boult","place:new zealand",1
"person:southee","place:india",1
"person:southee","place:new zealand",1
"person:david warner","person:mohammad hafeez",9
"person:mohammad rizwan","person:mohammad yousuf",6
"person:mohammad rizwan","person:sachin tendulkar",5
